iso_a3,country,year,Female,Male,Total,male_avg,female_avg,gap
USA,United States of America,2003,3210.934,4661.053,3970.584,4661.053,3210.934,1450.119
USA,United States of America,2004,3326.198,4821.897,4112.349,4821.897,3326.198,1495.699
USA,United States of America,2005,3461.486,4898.269,4220.776,4898.269,3461.486,1436.783
GTM,Guatemala,2006,341.182,633.785,493.538,633.785,341.182,292.603
USA,United States of America,2006,3628.999,5046.256,4373.115,5046.256,3628.999,1417.257
KHM,Cambodia,2007,74.632,69.395,71.106,69.395,74.632,-5.237
USA,United States of America,2007,3716.168,5249.349,4520.862,5249.349,3716.168,1533.181
KHM,Cambodia,2008,84.059,164.572,139.888,164.572,84.059,80.513
USA,United States of America,2008,3857.423,5418.831,4674.339,5418.831,3857.423,1561.408
KHM,Cambodia,2009,113.716,159.692,140.796,159.692,113.716,45.976
EGY,Egypt,2009,11.056,15.403,14.394,15.403,11.056,4.347
CHE,Switzerland,2009,6777.953,11478.368,9556.366,11478.368,6777.953,4700.415
GBR,United Kingdom of Great Britain and Northern Ireland,2009,2878.325,4177.518,3552.122,4177.518,2878.325,1299.193
USA,United States of America,2009,3910.321,5476.471,4710.311,5476.471,3910.321,1566.15
VNM,Viet Nam,2009,150.806,220.668,187.804,220.668,150.806,69.862
KHM,Cambodia,2010,167.336,260.461,229.473,260.461,167.336,93.125
EGY,Egypt,2010,105.371,163.316,148.703,163.316,105.371,57.945
GTM,Guatemala,2010,438.109,624.766,565.081,624.766,438.109,186.657
LBR,Liberia,2010,305.317,363.514,340.084,363.514,305.317,58.197
CHE,Switzerland,2010,6272.683,10818.607,8995.049,10818.607,6272.683,4545.924
TLS,Timor-Leste,2010,197.131,216.734,210.615,216.734,197.131,19.603
GBR,United Kingdom of Great Britain and Northern Ireland,2010,2797.579,4062.679,3458.784,4062.679,2797.579,1265.1
USA,United States of America,2010,3985.89,5525.2,4761.115,5525.2,3985.89,1539.31
VNM,Viet Nam,2010,145.868,201.481,174.238,201.481,145.868,55.613
ARG,Argentina,2011,982.655,1229.122,1126.232,1229.122,982.655,246.467
BOL,Bolivia (Plurinational State of),2011,352.136,459.797,417.677,459.797,352.136,107.661
KHM,Cambodia,2011,130.248,204.049,177.332,204.049,130.248,73.801
